Subject,Start Date,Start Time,End Date,End Time,All Day Event,Private
11140001 Officeリテラシー (Windows)（稲葉 知子）,2023/04/03,14:20,2023/04/03,15:50,False,True
11140001 Officeリテラシー (Windows)（稲葉 知子）,2023/04/17,14:20,2023/04/17,15:50,False,True
11140001 Officeリテラシー (Windows)（稲葉 知子）,2023/04/24,14:20,2023/04/24,15:50,False,True
11140001 Officeリテラシー (Windows)（稲葉 知子）,2023/05/08,14:20,2023/05/08,15:50,False,True
11140001 Officeリテラシー (Windows)（稲葉 知子）,2023/05/15,14:20,2023/05/15,15:50,False,True
11140001 Officeリテラシー (Windows)（稲葉 知子）,2023/05/22,14:20,2023/05/22,15:50,False,True
11140001 Officeリテラシー (Windows)（稲葉 知子）,2023/05/29,14:20,2023/05/29,15:50,False,True
11140001 Officeリテラシー (Windows)（稲葉 知子）,2023/06/05,14:20,2023/06/05,15:50,False,True
11130001 社会力 (G1／G2)（渡辺 パコ）,2023/04/06,14:20,2023/04/06,15:50,False,True
11130001 社会力 (G1／G2)（渡辺 パコ）,2023/04/20,14:20,2023/04/20,15:50,False,True
11130001 社会力 (G1／G2)（渡辺 パコ）,2023/04/27,14:20,2023/04/27,15:50,False,True
11130001 社会力 (G1／G2)（渡辺 パコ）,2023/05/11,14:20,2023/05/11,15:50,False,True
11130001 社会力 (G1／G2)（渡辺 パコ）,2023/05/18,14:20,2023/05/18,15:50,False,True
11130001 社会力 (G1／G2)（渡辺 パコ）,2023/05/25,14:20,2023/05/25,15:50,False,True
11130001 社会力 (G1／G2)（渡辺 パコ）,2023/06/01,14:20,2023/06/01,15:50,False,True
11130001 社会力 (G1／G2)（渡辺 パコ）,2023/06/08,14:20,2023/06/08,15:50,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/04/07,12:40,2023/04/07,14:10,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/04/07,14:20,2023/04/07,15:50,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/04/21,12:40,2023/04/21,14:10,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/04/21,14:20,2023/04/21,15:50,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/04/28,12:40,2023/04/28,14:10,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/04/28,14:20,2023/04/28,15:50,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/05/12,12:40,2023/05/12,14:10,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/05/12,14:20,2023/05/12,15:50,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/05/19,12:40,2023/05/19,14:10,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/05/19,14:20,2023/05/19,15:50,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/05/26,12:40,2023/05/26,14:10,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/05/26,14:20,2023/05/26,15:50,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/06/02,12:40,2023/06/02,14:10,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/06/02,14:20,2023/06/02,15:50,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/06/09,12:40,2023/06/09,14:10,False,True
31110016 基礎ツール演習 I (G2-2)（山内 三紀子）,2023/06/09,14:20,2023/06/09,15:50,False,True
10010001 デジタルコミュニケーション概論 (G1／G2)（杉山 知之,2023/04/17,12:40,2023/04/17,14:10,False,True
10010001 デジタルコミュニケーション概論 (G1／G2)（杉山 知之,2023/04/19,12:40,2023/04/19,14:10,False,True
10010001 デジタルコミュニケーション概論 (G1／G2)（杉山 知之,2023/04/24,12:40,2023/04/24,14:10,False,True
10010001 デジタルコミュニケーション概論 (G1／G2)（杉山 知之,2023/04/26,12:40,2023/04/26,14:10,False,True
10010001 デジタルコミュニケーション概論 (G1／G2)（杉山 知之,2023/05/08,12:40,2023/05/08,14:10,False,True
10010001 デジタルコミュニケーション概論 (G1／G2)（杉山 知之,2023/05/10,12:40,2023/05/10,14:10,False,True
10010001 デジタルコミュニケーション概論 (G1／G2)（杉山 知之,2023/05/15,12:40,2023/05/15,14:10,False,True
10010001 デジタルコミュニケーション概論 (G1／G2)（杉山 知之,2023/05/17,12:40,2023/05/17,14:10,False,True
11110001 アクティブラーニング (G1／G2)（羽根 拓也）,2023/04/03,8:40,2023/04/03,10:10,False,True
11110001 アクティブラーニング (G1／G2)（羽根 拓也）,2023/04/03,10:20,2023/04/03,11:50,False,True
11110001 アクティブラーニング (G1／G2)（羽根 拓也）,2023/04/04,8:40,2023/04/04,10:10,False,True
11110001 アクティブラーニング (G1／G2)（羽根 拓也）,2023/04/04,10:20,2023/04/04,11:50,False,True
11110001 アクティブラーニング (G1／G2)（羽根 拓也）,2023/04/05,8:40,2023/04/05,10:10,False,True
11110001 アクティブラーニング (G1／G2)（羽根 拓也）,2023/04/05,10:20,2023/04/05,11:50,False,True
